캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자
(주)데일리랜드 ,자동차야영장,37.7608264,127.8469049,강원도 춘천시 동산면 봉명리 35,0,16,0,0,2,1,2,8,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점",,2019-07-12,2015-09-08
(주)디노담양힐링파크 지점,"일반야영장,카라반,글램핑",35.2715103,126.961211,전남 담양군 봉산면 탄금길 9-26,2,0,22,2,4,3,2,20,2,1,24,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트.편의점",,2019-07-12,2016-10-27
(주)쉐르빌리안티티,글램핑,37.7015645,127.5960926,강원도 홍천군 서면 밤벌길19번길111 ,0,0,18,0,4,2,2,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점","애견 놀이터, 애견 수영장, 탁구장, 족구장, 노래방",2019-07-12,2016-09-13
(주)아웃오브파크,카라반,37.728234,127.510804,강원도 춘천시 남면 가옹개길 52-9,0,0,0,40,0,0,0,0,0,0,0,운동시설,"수영장, 노래방, 찜질방, 카페, 중앙 무대, 분수",2019-07-12,2017-09-18
(주)양촌여울체험캠프,"일반야영장,자동차야영장",35.1365006,128.3753007,경상남도 창원시 마산합포구 진전면 의산삼일로 60,38,0,0,0,1,1,1,0,0,0,0,"전기,온수,물놀이장,산책로,마트.편의점",,2019-07-12,2016-12-19
(주)어반슬로우시티,"자동차야영장,글램핑",37.732632,127.5116915,강원도 춘천시 남면 가옹개길 108 ,0,15,32,0,2,2,1,0,0,0,0,"전기,무선인터넷,온수,운동장",,2019-07-12,2015-08-04
쥴리어스지점 휴토피아,글램핑,37.6963001,127.6892996,강원도 홍천군 서면 어유포리 ,0,0,17,0,0,0,1,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트.편의점","단체 바비큐장, 계곡",2019-07-12,2016-04-29
(주)자연에너지-드림랜드오토캠핑장,일반야영장,35.9840344,129.0005945,경상북도 영천시 고경면 고도길 38 ,135,135,0,0,3,1,3,15,0,0,10,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","찜질방, 불가마, 예식장, 식당",2019-07-12,2010-01-11
(주)자연인 ,"일반야영장,글램핑",33.4687254,126.5399565,제주특별자치도 제주시 아란서길 110-0 ,0,0,20,0,1,1,1,0,0,0,0,운동시설,,2019-07-12,2016-08-26
(주)태평소금 천일염 힐링캠프,일반야영장,34.9968071,126.1776166,전라남도 신안군 증도면 지도증도로 1053-11 ,9,0,0,10,1,1,2,20,0,0,10,"전기,장작판매,온수,물놀이장,놀이터,마트.편의점",,2019-07-12,2016-05-11
353 캠핑장 ,일반야영장,38.0893491,127.3214361,경기도 포천시 영북면 산정리 ,0,0,0,0,0,0,0,0,0,0,0,"전기,장작판매,온수,물놀이장,운동시설",,2019-07-12,2013-07-24
505펜션&캠핑(오공오),일반야영장,36.5013917,127.0202,충청남도 공주시 사곡면 호계리 ,22,0,0,0,2,2,3,40,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,2015-05-20
80 SS 오토캠핑장,"일반야영장,자동차야영장,글램핑",36.0300417,128.6304762,경북 군위군 부계면 남산리 1138-4번지,14,10,7,0,2,2,2,40,0,0,7,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2019-07-12,2016-08-05
A&J오토캠핑장 ,자동차야영장,37.3467235,127.8105836,강원도 원주시 지정면 안창리 ,0,0,0,0,0,0,0,0,0,0,0,전기,,2019-07-12,2015-05-18
Camp 1950 by 민들레울,"일반야영장,글램핑",35.8787838,127.9410435,김천시 대덕면 남김천대로 160,9,0,11,0,3,3,1,22,1,1,18,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,2017-04-27
CLUB 596,"일반야영장,글램핑",36.683579,126.2683706,충남 태안군 남면 몽산리 596,0,0,5,0,2,2,2,8,0,0,6,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로",,2019-07-12,2017-08-01
DMZ 마루캠핑,자동차야영장,38.135059,127.019045,경기도 연천군 중면 군중로 399,30,0,0,0,1,1,1,20,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2017-09-28
DMZ캠핑장 ,자동차야영장,38.2201219,127.1806653,강원도 철원군 철원읍 독서당길 225-134 ,13,0,0,0,1,1,2,7,0,0,0,"전기,무선인터넷,장작판매",,2019-07-12,2016-06-09
EBS골드캠핑장 ,자동차야영장,37.2190029,127.1346316,경기도 용인시 기흥구 기흥단지로 397 ,10,0,5,15,8,8,3,50,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",대형 수영장,2019-07-12,2016-08-12
F1 오토캠핑장 ,일반야영장,34.7367086,126.3935277,전라남도 영암군 삼호읍 삼포리 ,0,40,0,6,5,2,4,0,0,0,0,"온수,운동장",,2019-07-12,
JB 캠핑하우스 ,자동차야영장,37.9613524,126.9268289,경기도 파주시 적성면 감악산로 1270-54 ,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,물놀이장",,2019-07-12,2016-07-28
Najost Camp(나조스트 캠프),일반야영장,37.1103264,128.6037991,강원 영월군 김삿갓면 김삿갓로 638,0,20,0,0,2,1,3,20,0,0,0,"전기,무선인터넷,장작판매,온수",,2019-07-12,2015-10-07
THATS CAMPING 횡성자연휴양림야영장,"일반야영장,글램핑",37.5390902,128.1110517,강원도 횡성군 갑천면정포로430번길 113 ,0,60,5,0,3,2,2,0,0,0,0,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점","펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷",2019-07-12,2015-05-29
The Star 오토캠핑장,"일반야영장,자동차야영장,카라반",34.718507,127.781276,전남 여수시 돌산읍 상하동길 268,9,19,0,2,2,2,1,18,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2019-07-12,2018-01-15
VIP오토캠핑장 ,자동차야영장,35.4972561,128.9267335,경상남도 밀양시 단장면 고례리 ,0,28,0,0,1,1,2,15,0,0,0,"전기,트렘폴린",,2019-07-12,2015-05-26
W글램핑 ,"일반야영장,글램핑",35.3932118,127.8873465,경상남도 산청군 산청읍 내리 ,1,0,14,0,2,2,2,15,1,0,15,"전기,놀이터,운동시설",,2019-07-12,2016-05-03
YC글램핑,일반야영장,38.053615,126.973136,연천군 미산면 백석리 855번지,0,0,0,0,0,0,0,0,0,0,0,"물놀이장,운동시설",,2019-07-12,2017-04-10
YELLOW HILL,자동차야영장,37.7609521,127.7449681,강원도 춘천시 동산면 종자리로 224-24,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2017-12-19
㈜씨스테이 야영장 ,자동차야영장,37.2801027,126.4683211,인천광역시 옹진군 영흥면 내리 ,13,0,0,0,2,2,2,8,0,0,0,"전기,무선인터넷,온수,물놀이장,운동시설",,2019-07-12,2016-02-26
㈜제주글램핑,일반야영장,33.4814834,126.752199,제주특별자치도 제주시 구좌읍 덕천리 ,0,0,81,0,2,2,2,0,0,0,0,"전기,온수,물놀이장,놀이터,운동시설",,2019-07-12,2016-03-03
가람관광농원,일반야영장,35.584137,128.052596,경남 합천군 봉산면 인덕로 930,0,22,0,0,1,1,1,7,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2017-11-14
가래골농원 캠핑장 ,일반야영장,37.9938562,127.1592806,경기도 포천시 창수면 추동리 ,0,0,0,0,0,0,0,90,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점",,2019-07-12,2016-09-13
가루실캠프 ,일반야영장,36.6562383,126.6436775,충청남도 예산군 덕산면 둔리 ,21,0,2,0,3,2,2,15,0,1,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2016-03-24
가리산자연휴양림 야영장,자동차야영장,37.865122,127.9839063,강원도 홍천군 두촌면 가리산길 426 ,38,0,0,0,1,1,1,20,0,0,0,"무선인터넷,놀이터,운동시설",어드벤처,2019-07-12,2015-07-07
가마실캠핑장 ,일반야영장,37.1214901,128.2965596,충청북도 제천시 자작동 ,0,31,0,0,1,1,1,0,0,0,0,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설",,2019-07-12,2015-11-09
가산 글램핑 ,"일반야영장,카라반,글램핑",36.0884556,128.474735,경상북도 칠곡군 가산면 학하리 ,0,0,26,5,2,2,1,31,0,0,31,"전기,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설",,2019-07-12,2015-10-19
가산산성 야영장 ,일반야영장,36.0188551,128.6201675,경상북도 칠곡군 동명면 한티로 1034 ,200,0,0,0,5,0,5,34,0,344,0,,,2019-07-12,2015-07-08
가야권역 소리마실 영농조합법인 ,일반야영장,35.7724993,128.128841,경상남도 합천군 가야면 야천리 ,0,39,0,0,2,2,2,39,1,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,운동시설",,2019-07-12,2016-06-07
가야랜드달빛야영장 ,일반야영장,35.2589749,128.9056121,경상남도 김해시 삼방동 ,0,0,0,0,0,0,0,0,0,0,0,"전기,장작판매,온수,운동시설",,2019-07-12,2016-04-28
가온누리캠핑체험장 ,일반야영장,35.9811535,129.1374157,경상북도 경주시 안강읍 하곡리 ,46,0,0,0,2,2,1,30,30,30,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,2015-07-22
가우도카라반펜션,"일반야영장,카라반",34.5276559,126.7917474,전남 강진군 대구면 저두바닷길 3,5,0,0,6,2,2,3,6,0,0,0,"전기,무선인터넷,온수,물놀이장,놀이터,운동시설",,2019-07-12,2015-12-23
가은해솔캠핑장,일반야영장,36.7005829,128.0186437,경상북도 문경시 가은읍 원북리 177-6,10,0,0,0,4,2,1,8,0,0,0,"전기,장작판매,온수,물놀이장",,2019-07-12,2017-05-15
변산 오토캠핑장,"자동차야영장,카라반",35.682196,126.534068,전북 부안군 변산면 대항리 607,0,0,0,5,1,1,3,23,0,0,0,"전기,무선인터넷,장작판매,온수,산책로",,2019-07-12,2017-06-27
가족쉼터,자동차야영장,37.7548248,127.2720936,경기도 남양주시 수동면 수산리 ,25,0,0,0,2,2,2,9,0,0,0,"전기,놀이터",,2019-07-12,2015-08-20
가족캠핑숲,일반야영장,37.4582929,127.1394469,경기도 성남시 수정구 복정동 ,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2015-07-31
가지산 자연캠핑장 ,"일반야영장,자동차야영장",35.6366866,129.0561062,울산광역시 울주군 삽재로 279-22 가지산자연 ,16,16,0,0,1,1,1,6,0,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2019-07-12,2016-07-21
가창농원 야영장 ,"일반야영장,자동차야영장",35.7270263,128.6791722,대구광역시 달성군 가창면 삼산리 ,8,8,0,0,1,1,1,10,0,0,0,"전기,무선인터넷,온수,물놀이장,운동장",참숯가마,2019-07-12,2016-06-08
가평 사계절캠핑장 ,"일반야영장,자동차야영장",37.8833509,127.5489707,경기도 가평군 가화로 988-0 ,25,23,0,0,2,3,4,16,1,0,2,"전기,무선인터넷,온수,트렘폴린,마트.편의점",통나무 방갈로 2개동 운영중 별도문의,2019-07-12,2016-07-28
가평 사과나무 캠핑장 ,자동차야영장,37.7895015,127.358428,경기도 가평군 상면 항사리 ,10,0,0,0,2,2,6,8,0,0,0,"전기,장작판매,놀이터",,2019-07-12,2015-10-19
가평운악홀리데이 카라반파크 ,글램핑,37.853651,127.356336,경기도 가평군 조종면 운악청계로 424 ,0,0,15,15,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동장,운동시설",,2019-07-12,2016-11-01
가평황토은글램핑,글램핑,37.6076671,127.5102426,경기 가평군 설악면 장수로79번길 63-18,0,0,4,0,0,0,0,4,0,0,4,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설,마트.편의점",,2019-07-12,2017-05-26
가포수변오토캠핑장 ,일반야영장,35.1569362,128.5837295,경상남도 창원시 마산합포구 가포동 ,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,놀이터,산책로,운동시설",,2019-07-12,2015-07-10
가학산 자연휴양림 ,일반야영장,34.6719718,126.6152381,전라남도 해남군 계곡면 산골길 306 ,0,13,0,0,2,2,2,0,0,0,0,"전기,물놀이장,놀이터",,2019-07-12,2015-05-08
각화산 힐링 숲 캠프,일반야영장,36.9850364,128.8984994,경상북도 봉화군 춘양면 공세동길 133 ,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,놀이터",,2019-07-12,2017-03-28
각흘봉관광농원(GTF힐링파크),일반야영장,38.108131,127.396769,경기도 포천시 이동면 도평리 572-3,12,0,0,0,1,1,2,6,0,1,4,"전기,무선인터넷,장작판매,온수,운동시설",무선인터넷 일부이용가능 / 정자 5개 / 캠핑장 내 골프연습용 타석 2개 ,2019-07-12,2017-05-31
간월도캠핑장,일반야영장,36.6068354,126.4177826,충청남도 서산시 부석면 간월도리 21-20 ,0,0,0,0,0,0,0,0,0,0,0,"전기,장작판매,온수,산책로",,2019-07-12,2015-08-17
갈기산펜션캠핑장 ,자동차야영장,37.5594165,127.7882815,경기도 양평군 청운면 신론리 ,12,0,0,0,1,1,1,6,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장",,2019-07-12,2015-07-07
갈천 오토캠핑장 ,일반야영장,37.911569,128.500592,강원도 양양군 서면 구룡령로 1103-12 ,0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,2019-07-12,2016-07-25
감 이야기 캠핑장,일반야영장,35.6659701,129.001225,경상북도 청도군 운문면 신원리 ,20,0,0,0,4,3,3,10,1,1,0,"전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2016-05-23
감악산캠핑숲오토캠핑장,자동차야영장,37.2498068,128.1399087,강원도 원주시 신림면 황둔리 ,59,0,0,0,3,1,2,50,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",다실,2019-07-12,2015-04-29
강나루 오토캠핑장 ,일반야영장,35.3930913,128.5085477,경상남도 함안군 칠서면 이룡리 998,0,190,0,0,5,4,4,30,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동시설,마트.편의점",,2019-07-12,2014-05-15
강나루 캠핑장,일반야영장,35.4963606,128.0250018,"경남 합천군 가회면 둔내리 563-6, 563-7",0,0,0,0,2,1,2,0,0,0,0,전기,,2019-07-12,2017-07-02
강당골캠핑파크,일반야영장,36.7162118,127.0159079,충남 아산시 송악면 강당로 187-17,9,0,0,0,4,2,2,6,0,0,4,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설",,2019-07-12,2017-07-19
강동 그린웨이 가족캠핑장 ,자동차야영장,37.5362549,127.1520941,서울특별시 강동구 둔촌동 동남로 660 ,72,8,0,0,2,2,2,80,0,0,0,"전기,무선인터넷,놀이터,운동장,운동시설,마트.편의점",,2019-07-12,2015-05-20
강릉 노추산 힐링캠프,자동차야영장,37.570447,128.796319,강원도 강릉시 왕산면 대기리 ,50,0,0,0,2,1,1,0,0,0,0,"전기,장작판매,놀이터,운동시설",,2019-07-12,2016-05-20
강변사리 캠핑장,일반야영장,35.4957407,127.190327,전라북도 임실군 덕치면 강동로 865-20,0,14,0,0,1,1,1,10,0,0,0,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설",,2019-07-12,2017-04-27
강변야영장,자동차야영장,38.1927024,128.3279648,강원도 인제군 북면 만해로 237,8,0,0,0,1,1,2,6,0,0,0,"전기,온수",,2019-07-12,2017-11-30
강변오토캠핑장 ,일반야영장,36.8206892,127.8414386,충청북도 괴산군 괴산읍 검승리 ,50,0,0,0,2,2,1,19,0,0,6,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","민박, 펜션",2019-07-12,2015-06-09
강산에 글램핑,"일반야영장,글램핑",35.6764852,128.9849793,청도군 운문면 신원리 390-2,0,0,10,0,4,2,2,10,0,0,10,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설",펜션과 방갈로 운영,2019-07-12,2017-06-20
강원도산림개발연구원 집다리골자연휴양림,자동차야영장,37.9778582,127.5738331,강원도 춘천시 사북면 지암리 산5,35,0,0,0,2,2,2,18,0,0,0,"물놀이장,놀이터,산책로,운동시설",,2019-07-12,2015-06-11
강원도힐링캠핑장 ,자동차야영장,37.245979,128.157204,강원도 원주시 신림면 황둔리 ,100,0,0,0,2,2,2,50,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",,2019-07-12,2015-05-27
강진자연드림팜핑관광농원 ,"일반야영장,글램핑",34.5351298,126.8000499,전라남도 강진군 대구면 저두리 ,20,0,8,0,1,1,1,18,0,0,8,"전기,장작판매,온수,트렘폴린,물놀이장,운동장,운동시설",,2019-07-12,2016-02-18
강천산캠핑(뜨란채) ,"일반야영장,카라반",35.4158854,127.0775094,전북 순창군 팔덕면 강천로 664-26,0,0,0,7,0,0,0,7,0,0,7,"전기,무선인터넷,온수,물놀이장,놀이터",,2019-07-12,2016-07-20
강촌강변오토캠핑장 ,자동차야영장,37.8245157,127.6171339,강원도 춘천시 남산면 강촌리 ,0,0,0,0,0,0,0,0,0,0,0,"장작판매,온수",,2019-07-12,2016-02-11
강촌관광농원,글램핑,37.8191162,127.6012627,강원도 춘천시 남산면 강촌리 ,0,0,20,0,0,0,0,0,0,0,0,"온수,물놀이장,놀이터,운동장","세미나실, 족구장, 수영장, 당구장, 계곡 수영장",2019-07-12,2015-08-19
강촌달머리캠핑장,일반야영장,37.850929,127.5732255,강원도 춘천시 서면 안보리 ,60,0,0,0,1,0,1,3,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,마트.편의점",,2019-07-12,2016-03-16
강촌하늘아래 (구 강촌캠핑장),"일반야영장,글램핑",37.8005486,127.641409,강원도 춘천시 남산면 방곡리 ,30,0,16,0,2,1,2,2,0,0,1,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,마트.편의점",어린이도서관,2019-07-12,2015-05-08
강촌포도펜션&캠핑장,자동차야영장,37.808534,127.5729974,강원도 춘천시 남산면 백양리 ,15,0,0,0,2,2,1,12,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,운동시설",,2019-07-12,2015-09-04
강화고인돌 캠핑장,일반야영장,37.7769726,126.4348512,인천광역시 강화군 하점면 장정리 989,0,0,0,0,2,2,1,11,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",식물원,2019-07-12,2017-03-22
강화도산들애농원캠핑수영장 ,자동차야영장,37.7408766,126.4601554,인천광역시 강화군 강화읍 국화리 ,35,0,0,0,2,2,2,35,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2019-07-12,2015-12-04
강화캠핑파크 ,"일반야영장,글램핑",37.6263487,126.5163708,인천광역시 강화군 길상면 신촌로146번길 14-11 ,30,30,15,0,2,2,1,0,0,0,0,"전기,온수,운동시설",세미나실,2019-07-12,2015-04-20
개금불 어뮤니티 ,일반야영장,35.6346394,128.1105585,경상남도 합천군 묘산면 봉곡리 ,0,10,0,0,1,1,1,10,0,0,0,"전기,온수,놀이터,마트.편의점",,2019-07-12,2015-11-06
개미들솔향기야영장,자동차야영장,37.3191264,128.6927604,강원도 정선군 남면 광락로 354 ,0,0,0,0,0,0,0,0,0,0,0,전기,,2019-07-12,2015-07-27
개암벌 용소 관광농원 캠핑장,자동차야영장,37.8607003,128.0711731,강원도 홍천군 두촌면 괘석리 ,18,0,0,0,3,1,3,10,0,0,0,"전기,장작판매,온수,놀이터,운동시설",,2019-07-12,2015-06-29
개울가 야영장 ,일반야영장,35.6661498,129.0020699,경상북도 청도군 운문면 신원리 ,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2016-03-09
거북바위 야영장,자동차야영장,37.569537,127.4298365,경기도 양평군 서종면 서후리 234-1 번지,18,0,0,0,1,1,1,10,0,0,0,"전기,장작판매,온수,운동시설",,2019-07-12,2017-08-03
거제글램퍼스 ,"일반야영장,카라반,글램핑",34.814741,128.665358,경남 거제시 일운면 망치4길 38 ,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,놀이터,산책로",,2019-07-12,2016-07-22
거제자연휴양림 ,일반야영장,34.7835075,128.6270537,경상남도 거제시 동부면 거제중앙로 325 ,0,0,0,0,0,0,0,0,0,0,0,"온수,놀이터,운동시설",,2019-07-12,2015-07-17
거창 에이글램핑 ,"일반야영장,글램핑",35.6888066,127.8685542,경상남도 거창군 마리면 세동길 13 ,0,0,14,0,1,1,1,15,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,2019-07-12,2017-07-28
경주 힐링캠프,"일반야영장,글램핑",35.8156778,129.0408134,경상북도 경주시 산내면 감산리 1456번지,0,12,17,0,2,2,2,33,0,0,17,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점",,2019-07-12,2017-04-26
경주글램존,"일반야영장,글램핑",35.9505185,129.1400306,경상북도 경주시 안강읍 강교리 877-1,0,2,9,0,2,2,2,10,0,0,9,"전기,온수,물놀이장,운동시설",,2019-07-12,2017-09-20
경주남산관광농원,"일반야영장,카라반,글램핑",35.7892926,129.1987347,경상북도 경주시 배동 ,0,0,50,10,4,2,4,60,1,1,60,"전기,온수,트렘폴린,물놀이장,산책로,운동장,운동시설",,2019-07-12,2015-07-15
경주인동야영장 ,일반야영장,35.9881221,129.2636057,경상북도 경주시 강동면 인동리 ,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2015-09-17
경주초우오토캠핑장 ,일반야영장,35.8084803,129.2567128,경상북도 경주시 동방동 산업로 3549-30 ,0,41,0,0,12,10,6,20,0,0,5,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점",한옥게스트하우스,2019-07-12,2015-07-06
강화캐라반캠핑장 (경찰캐라반 캠핑장),글램핑,37.6294873,126.5240638,인천광역시 강화군 길상면 초지리 1320-1,0,0,32,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수",,2019-07-12,2016-11-18
경호강 캠핑장 ,일반야영장,35.357555,127.9162539,경상남도 산청군 단성면 방목리 627 ,0,39,0,0,2,2,2,0,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설",,2019-07-12,2017-05-25
계곡과소나무 오토캠핑장 ,일반야영장,37.9516198,127.3598873,경기도 포천시 일동면 무리울길 283 ,0,38,0,0,14,14,12,20,2,2,3,"전기,장작판매,온수,놀이터,산책로,운동장,운동시설",,2019-07-12,2016-07-04
계곡캠핑펜션 ,일반야영장,35.1117233,127.5446887,전라남도 구례군 간전면 금산리 63-5 ,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2015-07-23
계룡산글램핑 ,일반야영장,36.3561125,127.2534939,충청남도 공주시 반포면 학봉리 ,0,0,0,0,0,0,0,0,0,0,0,"물놀이장,운동시설",,2019-07-12,2015-05-22
계룡산글램핑파크 오브드림,"일반야영장,글램핑",124,3452,충남 공주시 반포면 학봉리 335,0,0,39,0,39,39,39,39,0,0,39,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,2019-07-12,2017-08-11
계룡산동학사자동차야영장,일반야영장,36.3583238,127.2410248,충청남도 공주시 반포면 동학사2로 115-16 ,0,22,0,0,1,1,1,16,0,3,0,"전기,무선인터넷",,2019-07-12,2015-06-09
계림정야영장 ,일반야영장,35.3518707,127.8416895,경상남도 산청군 삼장면 홍계리 ,20,0,0,0,8,2,5,13,3,5,0,"전기,장작판매,온수,놀이터,운동시설",,2019-07-12,2016-06-22
계명산 나무숲길 캠핑장,자동차야영장,37.0038879,127.9597953,충북 충주시 용탄동 410,0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",,2019-07-12,2017-03-22
계명산 자연휴양림 ,일반야영장,36.4131868,128.9472567,경상북도 안동시 길안면 고란리 ,17,0,0,0,0,0,0,0,0,0,0,"물놀이장,놀이터",,2019-07-12,2015-05-27
계방산 오토캠핑장 (노동계곡 오토캠핑장),일반야영장,37.7049218,128.4836316,강원도 평창군 용평면 이승복생가길 160 ,0,100,0,0,3,1,3,50,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2019-07-12,2017-07-25
고길동 캠핑장 ,자동차야영장,37.8276478,127.833961,강원도 홍천군 북방면 북방리 946,50,0,0,0,1,1,2,27,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2015-05-29
고대산캠핑리조트 ,"카라반,글램핑",38.2131745,127.1470347,경기도 연천군 신서면 대광리 ,0,0,30,10,4,4,2,0,0,0,0,"전기,온수,놀이터,운동장,운동시설","계곡, 족구장, 운동장, 수영장",2019-07-12,2016-06-17
고라데이마을,일반야영장,37.6489313,128.1392439,강원도 횡성군 청일면 봉명리 ,15,0,0,0,1,1,2,8,0,0,0,"전기,무선인터넷,온수,산책로",체험관,2019-07-12,2015-08-24
고래숲관광농원,자동차야영장,3d37.2003144,4d126.5616868,경기도 안산시 단원구 장불길 14(대부남동),0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2017-06-30
고산 무궁화 오토캠핑장,"일반야영장,카라반",35.9735698,127.2333925,전라북도 완주군 고산면 오산리 ,0,81,0,8,2,2,2,0,0,0,0,"전기,온수,놀이터,운동장","주변으로 무궁화 테마식물원, 에코어드벤처, 밀리터리파크 등 ",2019-07-12,2013-08-28
고성 남산공원 오토캠핑장 ,"일반야영장,카라반,글램핑",34.9559321,128.3277671,경상남도 고성군 고성읍 공룡로 3165 ,0,27,3,6,2,1,1,10,0,0,10,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,2019-07-12,2013-06-27
고성공룡박물관야영장,일반야영장,34.9109321,128.1566535,경상남도 고성군 하이면 월흥리 ,0,0,0,0,0,0,0,0,0,0,0,"온수,놀이터,운동시설",,2019-07-12,2015-04-21
고성다이노캠핑장 ,일반야영장,34.923019,128.2992298,경상남도 고성군 삼산면 두포리 ,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,물놀이장,산책로,운동시설",,2019-07-12,2016-06-17
고성잔디캠핑장,일반야영장,34.952402,128.2145347,경남 고성군 하일면 용태리 479,0,45,0,0,2,2,2,23,1,0,1,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",트렘폴린.수영장2개씩.잔디밭운동장.축구골대2개,2019-07-12,2017-06-01
고성패밀리캠핑장,"일반야영장,글램핑",34.9940595,128.2201195,경상남도 고성군 상리면 상정대로 1186,0,26,5,0,4,2,2,35,0,2,25,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점",,2019-07-12,2017-03-30
