캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자
창원휴양림 오토캠핑장,일반야영장,35.1111546,128.5705925,경상남도 창원시 마산합포구 구산면 석곡리 ,120,0,0,0,4,1,4,0,0,0,0,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2015-04-14
채움 관광농원,"일반야영장,글램핑",38.0650584,127.3896367,경기도 포천시 이동면 도평리 94 외 2필지,0,10,10,0,1,1,1,20,0,0,11,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로,운동시설",,2019-07-12,2017-11-02
천동계곡 야영장,일반야영장,36.9658204,128.4189781,충북 단양군 단양읍 천동4길 10-8,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2017-09-04
천동오토캠핑장,"일반야영장,자동차야영장",36.9744049,128.4187431,충청북도 단양군 단양읍 천동리 ,0,39,0,0,3,3,5,70,0,0,0,"전기,온수,물놀이장,놀이터,산책로,운동장,운동시설",,2019-07-12,
천등산캠핑장 ,"일반야영장,자동차야영장",37.0728441,128.039613,충청북도 충주시 산척면 명서리 ,30,30,0,0,1,1,1,40,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,마트.편의점",,2019-07-12,2016-12-07
천리안 캠프힐 ,"일반야영장,자동차야영장",35.6409377,129.0588156,울산광역시 울주군 상북면 삽재4길5 ,44,0,0,0,1,1,1,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2019-07-12,2016-11-09
천문대 별빛정원 ,일반야영장,36.1509808,128.9965764,경상북도 영천시 화북면 정각길 150 ,10,0,0,0,4,4,2,10,0,0,4,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트.편의점",,2019-07-12,2015-03-30
천문대오토캠핑장 ,일반야영장,35.2751238,128.886997,경상남도 김해시 생림면 나전리 ,0,0,0,0,0,0,0,0,0,0,0,"전기,물놀이장,운동시설",,2019-07-12,2015-07-21
천사봉오토캠핑장 ,자동차야영장,37.5955439,127.5971032,경기도 양평군 단월면 산음리 ,22,0,0,0,1,1,6,20,0,0,0,"전기,장작판매,온수",,2019-07-12,2016-02-19
천안 밤나무골 가족사랑 캠핑장 ,일반야영장,36.8600244,127.1999395,충청남도 천안시 서북구 성거읍 보명사길 74-13 ,70,0,0,0,2,2,1,50,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점",,2019-07-12,2017-09-05
